A,Assigned to,Article,Article No.,Item Group,Base Unit,Store Unit,Loss,Last Purchase Price,Sales Price,Ignore in Inventory,Article Code,Weight Factor,Barcode,Producer,Country of Origin,Article Folder/URL 1,Picture,Article Folder/URL 2,Visibility,Changed by,At
,Expenses, (Catering)Brown Juice Container,10042,Catering,Each,Each,,15.78,0,0,,1,,,,,,,0,Shkakhwa,30/12/2020
,Expenses, (Catering)Electric Hot Plate  ,10040,Catering,Each,Each,,0,0,0,,1,,,,,,,0,Shkakhwa,28/12/2017
,Expenses, (Catering)Istikana Underliner,10044,Catering,Each,Each,,0,0,0,,1,,,,,,,0,Shkakhwa,28/12/2017
,Expenses, (Catering)Juice Dispenser 5 Ltr,10038,Catering,Each,Each,,0,0,0,,1,,,,,,,0,Shkakhwa,28/12/2017
,Expenses, (Catering)Juice Dispenser 8 Ltr,10039,Catering,Each,Each,,0,0,0,,1,,,,,,,0,Shkakhwa,28/12/2017
,Expenses, (Catering)Kunafa Wooden Base,10041,Catering,Each,Each,,0,0,0,,1,,,,,,,0,Shkakhwa,28/12/2017
,Expenses, (Catering)Laddle ,10051,Catering,Each,Each,,0,0,0,,1,,,,,,,0,Shkakhwa,28/12/2017
,Expenses, (Catering)Mixed Cutlery Rack,10048,Catering,Each,Each,,0,0,0,,1,,,,,,,0,Shkakhwa,28/12/2017
,Expenses, (Catering)Pepper Shaker Harmony,10054,Catering,Each,Each,,0,0,0,,1,,,,,,,0,Shkakhwa,30/12/2017
,Expenses, (Catering)Pro Chef Fork Big,10049,Catering,Each,Each,,0,0,0,,1,,,,,,,0,Shkakhwa,28/12/2017
,Expenses, (Catering)Salad Tong,10050,Catering,Each,Each,,0,0,0,,1,,,,,,,0,Shkakhwa,28/12/2017
,Expenses, (Catering)Salt Shaker Harmony,10047,Catering,Each,Each,,0,0,0,,1,,,,,,,0,Shkakhwa,30/12/2017
,Expenses, (Catering)Steel Bowl,10052,Catering,Each,Each,,0,0,0,,1,,,,,,,0,Shkakhwa,28/12/2017
