article_type,name,over_group_id,major_group_id,item_group_id,base_unit,store_unit,purchase_price
Expenses, (Catering)Brown Juice Container,Assets,Catering Equipment,Catering,Each,Each,15.78
Expenses, (Catering)Electric Hot Plate  ,Assets,Catering Equipment,Catering,Each,Each,0
Expenses, (Catering)Istikana Underliner,Assets,Catering Equipment,Catering,Each,Each,0
Expenses, (Catering)Juice Dispenser 5 Ltr,Assets,Catering Equipment,Catering,Each,Each,0
Expenses, (Catering)Juice Dispenser 8 Ltr,Assets,Catering Equipment,Catering,Each,Each,0
Expenses, (Catering)Kunafa Wooden Base,Assets,Catering Equipment,Catering,Each,Each,0
Expenses, (Catering)Laddle ,Assets,Catering Equipment,Catering,Each,Each,0
Expenses, (Catering)Mixed Cutlery Rack,Assets,Catering Equipment,Catering,Each,Each,0
Expenses, (Catering)Pepper Shaker Harmony,Assets,Catering Equipment,Catering,Each,Each,0
Expenses, (Catering)Pro Chef Fork Big,Assets,Catering Equipment,Catering,Each,Each,0
Expenses, (Catering)Salad Tong,Assets,Catering Equipment,Catering,Each,Each,0
Expenses, (Catering)Salt Shaker Harmony,Assets,Catering Equipment,Catering,Each,Each,0
Expenses, (Catering)Steel Bowl,Assets,Catering Equipment,Catering,Each,Each,0
Expenses, (Catering)Water Pan,Assets,Catering Equipment,Catering,Each,Each,0
Profit Contribution, Brown Sugar Sachets,Food,Condiments,Sugar,Each,Each,0.012
Expenses, Measure glass Pitcher (Bar Area),Assets,Dining Assets,Dining Assets,Each,Each,0
Profit Contribution, Not in use -White Flour ( Super ),Food,Condiments,Baking Items,Kilogram,Kilogram,0.11
Expenses,( Catering ) Forks ,Assets,Catering Equipment,Catering,Each,Each,0
Expenses,( Catering ) Knifs,Assets,Catering Equipment,Catering,Each,Each,0
Expenses,( Catering ) Spoons ,Assets,Catering Equipment,Catering,Each,Each,0
Expenses,( Catering )Adjustable Plates Holder,Assets,Catering Equipment,Catering,Each,Each,0
Expenses,( Catering )Aluminum Soup Pot,Assets,Catering Equipment,Catering,Each,Each,0
Expenses,( Catering )chafing dish rectangular,Assets,Catering Equipment,Catering,Each,Each,0
Expenses,( Catering )Closed stainless spoon ( king ),Assets,Catering Equipment,Catering,Each,Each,0
Expenses,( Catering )Coffee Container 10.50 Ltr,Assets,Catering Equipment,Catering,Each,Each,0
Expenses,( Catering )Dessert Forks ,Assets,Catering Equipment,Catering,Each,Each,0
Expenses,( Catering )Eared Clay Pot 35 cm,Assets,Catering Equipment,Catering,Each,Each,0
Expenses,( Catering )Electric water heater Steel 30 Ltr,Assets,Catering Equipment,Catering,Each,Each,0
Expenses,( Catering )Food Container Gray Colour,Assets,Catering Equipment,Catering,Each,Each,0
Expenses,( Catering )Goblet Cups 450 ml,Assets,Catering Equipment,Catering,Each,Each,0
Expenses,( Catering )Hi Ball Cups,Assets,Catering Equipment,Catering,Each,Each,0
